anger,disgust,fear,joy,sadness,surprise,time,system,video,video_emotion,video_gender
0.0855437,0.0279186,0.00102517,0.0207281,0.089978,0.0116225,158,crowdemotion_CNN,boredom_M,boredom,M
0.067857,0.0242605,0.000970681,0.018061,0.074675,0.0128937,159,crowdemotion_CNN,boredom_M,boredom,M
0.0860963,0.035552,0.000864371,0.0281883,0.0698036,0.0139396,160,crowdemotion_CNN,boredom_M,boredom,M
0.0847311,0.0177986,0.000758125,0.0163938,0.136656,0.0124082,161,crowdemotion_CNN,boredom_M,boredom,M
0.0719753,0.0253343,0.000902774,0.0177482,0.10858,0.0134948,162,crowdemotion_CNN,boredom_M,boredom,M
0.0864606,0.0280439,0.0010657,0.0209434,0.0923128,0.0117929,163,crowdemotion_CNN,boredom_M,boredom,M
0.0797032,0.0246619,0.00098811,0.0163149,0.0861909,0.0137648,164,crowdemotion_CNN,boredom_M,boredom,M
0.0661093,0.0200889,0.000895658,0.0135388,0.123816,0.0135856,165,crowdemotion_CNN,boredom_M,boredom,M
0.0652656,0.0258846,0.000997739,0.013373,0.089769,0.0143699,166,crowdemotion_CNN,boredom_M,boredom,M
0.0540346,0.0275934,0.00156887,0.0209414,0.109543,0.0187397,167,crowdemotion_CNN,boredom_M,boredom,M
0.0835016,0.0349327,0.000866467,0.0182442,0.0871987,0.0158011,168,crowdemotion_CNN,boredom_M,boredom,M
0.0709739,0.0172144,0.00062929,0.0113333,0.0699385,0.0116852,169,crowdemotion_CNN,boredom_M,boredom,M
0.0760847,0.0218462,0.000717368,0.0143575,0.0796193,0.00987316,170,crowdemotion_CNN,boredom_M,boredom,M
0.0753694,0.0285771,0.000900087,0.0167021,0.0724747,0.0146575,171,crowdemotion_CNN,boredom_M,boredom,M
0.0827642,0.0312905,0.0013779,0.0258193,0.0978649,0.0111347,172,crowdemotion_CNN,boredom_M,boredom,M
0.0876211,0.0399484,0.00158259,0.0284544,0.105321,0.0172572,173,crowdemotion_CNN,boredom_M,boredom,M
0.0807348,0.0330848,0.00146949,0.029928,0.078625,0.0160808,174,crowdemotion_CNN,boredom_M,boredom,M
0.0871445,0.033597,0.00233745,0.0274896,0.10891,0.0153656,175,crowdemotion_CNN,boredom_M,boredom,M
0.0800276,0.0317523,0.00158367,0.0197996,0.08566,0.0118674,176,crowdemotion_CNN,boredom_M,boredom,M
0.091538,0.033142,0.00147602,0.0191543,0.0901727,0.0140792,177,crowdemotion_CNN,boredom_M,boredom,M
0.0852595,0.0391754,0.00258398,0.0234681,0.152783,0.0172469,178,crowdemotion_CNN,boredom_M,boredom,M
0.0980351,0.0348104,0.00229328,0.0326459,0.126585,0.0131641,179,crowdemotion_CNN,boredom_M,boredom,M
0.0877386,0.0484642,0.00258621,0.033642,0.149179,0.0161901,180,crowdemotion_CNN,boredom_M,boredom,M
0.100858,0.0373341,0.00197323,0.0304417,0.104424,0.0210371,181,crowdemotion_CNN,boredom_M,boredom,M
0.0981683,0.0382525,0.00259505,0.0387942,0.118904,0.0148432,182,crowdemotion_CNN,boredom_M,boredom,M
0.0802129,0.0445819,0.00187507,0.0272614,0.0862478,0.0161822,183,crowdemotion_CNN,boredom_M,boredom,M
0.0861556,0.0360279,0.00212062,0.0316979,0.0837445,0.0158086,184,crowdemotion_CNN,boredom_M,boredom,M
0.0906534,0.0256184,0.00106067,0.0203559,0.129117,0.0204216,185,crowdemotion_CNN,boredom_M,boredom,M
0.0843451,0.0311201,0.000944272,0.0190025,0.0814449,0.0171042,186,crowdemotion_CNN,boredom_M,boredom,M
0.0740356,0.0154545,0.000663368,0.00970773,0.103001,0.0161382,187,crowdemotion_CNN,boredom_M,boredom,M
0.112597,0.0365902,0.00127104,0.0165151,0.108492,0.0184881,188,crowdemotion_CNN,boredom_M,boredom,M
