UniqueID,DayNumber,title,rank,newsSource,URLs,Date,Filename,Seg,WC,WPS,Sixltr,Dic,Numerals,funct,pronoun,ppron,Iself,we,you,shehe,they,ipron,article,verb,auxverb,past,present,future,adverb,preps,conj,negate,quant,number,swear,social,family,friend,humans,affect,posemo,negemo,anx,anger,sad,cogmech,insight,cause,discrep,tentat,certain,inhib,incl,excl,percept,see,hear,feel,bio,body,health,sexual,ingest,relativ,motion,space,time,work,achieve,leisure,home,money,relig,death,assent,nonfl,filler,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP,AllPct,Polarity
257,2,George Square crash: Three family members killed in Glasgow,2,BBCNews,http://www.bbc.co.uk/news/uk-scotland-glasgow-west-30583678,23/12/2014,headlineajw.txt,1,9,9,22.22,66.67,0,22.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.11,0,0,0,11.11,0,22.22,11.11,0,11.11,11.11,0,11.11,0,11.11,0,0,0,0,0,0,0,0,0,0,11.11,11.11,0,0,0,0,0,0,0,11.11,0,11.11,0,0,0,11.11,11.11,0,0,11.11,0,0,0,11.11,0,11.11,0,0,0,0,0,0,0,0,22.22,-11.11
258,3,Glasgow crash: Man arrested over tweet,3,BBCNews,http://www.bbc.co.uk/news/uk-england-tyne-30585301,23/12/2014,headlineajx.txt,1,6,6,33.33,33.33,0,16.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.67,0,0,0,0,0,16.67,0,0,16.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.67,0,16.67,0,0,0,0,0,0,0,0,0,0,0,16.67,0,16.67,0,0,0,0,0,0,0,0,33.33,0
259,4,Ukraine votes to drop non-aligned status,4,BBCNews,http://www.bbc.co.uk/news/world-europe-30587924,23/12/2014,headlineajy.txt,1,7,7,28.57,28.57,0,14.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.29,0,0,0,0,0,0,0,0,0,0,0,0,0,14.29,0,0,0,0,0,28.57,0,0,0,0,28.57,0
260,5,"E-books 'damage sleep and health,' doctors warn",5,BBCNews,http://www.bbc.co.uk/news/health-30574260,23/12/2014,headlineajz.txt,1,8,8,25,75,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,0,0,0,0,0,0,0,0,12.5,0,12.5,0,0,12.5,12.5,0,0,0,0,0,0,12.5,0,0,0,0,0,37.5,12.5,25,0,0,0,0,0,0,25,0,12.5,0,0,0,0,0,0,0,12.5,12.5,0,0,0,0,25,0,25,0,0,62.5,-12.5
261,6,Six people killed and eight injured in Glasgow bin lorry crash,6,BBCNews,http://www.bbc.co.uk/news/uk-scotland-glasgow-west-30580114,23/12/2014,headlineaka.txt,1,11,11,18.18,63.64,0,36.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.09,9.09,0,0,18.18,0,9.09,0,0,9.09,9.09,0,9.09,0,9.09,0,9.09,0,0,0,0,0,0,9.09,0,0,0,0,0,9.09,0,9.09,0,0,9.09,0,9.09,0,0,0,0,0,0,0,9.09,0,0,0,9.09,0,0,0,0,0,0,0,0,0,0,9.09,-9.09
262,7,Civil partnerships ban challenged by heterosexual couple,7,BBCNews,http://www.bbc.co.uk/news/uk-30586950,23/12/2014,headlineakb.txt,1,7,7,42.86,71.43,0,28.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.29,0,0,14.29,0,0,14.29,0,14.29,14.29,14.29,14.29,0,0,0,0,14.29,0,0,0,0,0,14.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.29,14.29,0,0,0,0,0,0,0,0,14.29,0,0,0,0,0,0,0,0,0,0,14.29,14.29
263,8,UK economic growth revised down,8,BBCNews,http://www.bbc.co.uk/news/business-30585678,23/12/2014,headlineakc.txt,1,5,5,40,60,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,20,20,0,20,0,0,0,20,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,20,0
264,9,France to deploy soldiers after spate of attacks,9,BBCNews,http://www.bbc.co.uk/news/world-europe-30586798,23/12/2014,headlineakd.txt,1,8,8,25,50,0,37.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.5,0,0,0,0,0,0,0,0,0,12.5,0,12.5,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,0,0,12.5,0,0,0,0,0,0,0,0,0,0,12.5,0,0,0,0,0,0,0,0,0,0,12.5,-12.5
265,10,Rare Islamic State visit reveals 'brutal and strong' force,10,BBCNews,http://www.bbc.co.uk/news/world-middle-east-30585783,23/12/2014,headlineake.txt,1,9,9,22.22,88.89,0,11.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.11,0,0,0,0,11.11,0,0,0,22.22,11.11,11.11,0,11.11,0,33.33,11.11,11.11,0,0,0,0,11.11,0,0,0,0,0,0,0,0,0,0,22.22,11.11,0,0,0,11.11,0,0,0,11.11,0,0,0,0,11.11,0,0,0,0,0,0,0,22.22,0,0,33.33,0
341,1,Glasgow bin lorry crash latest,1,BBCNews,http://www.bbc.co.uk/news/live/uk-scotland-30594381,24/12/2014,headlineanc.txt,1,5,5,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,20,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,20,0
